,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"9,22%","8,83%","13,97%","13,37%","0,21%","0,01%","21,13%","0,00%","7,53%","9,46%","1,14","48,34","47,34","7,20"
1,30/06/2024,"14,55%","13,68%","22,04%","20,73%","17,27%","0,36%","21,16%","0,25%","7,65%","9,59%","1,41","52,05","51,05","7,99"
2,31/03/2024,"15,01%","13,85%","22,74%","20,98%","18,81%","0,50%","20,90%","0,36%","7,68%","9,60%","1,37","1.498,85","1.497,85","7,73"
3,31/12/2023,"16,39%","14,97%","24,84%","22,68%","83,08%","1,97%","20,50%","1,57%","7,62%","9,53%","1,26","163,98","162,98","6,85"
4,30/09/2023,"14,41%","13,76%","21,84%","20,84%","58,69%","1,71%","19,88%","1,32%","7,42%","9,30%","1,29","41,26","40,26","6,24"
5,30/06/2023,"16,65%","15,75%","25,22%","23,87%","50,28%","1,79%","19,56%","1,21%","7,51%","9,18%","1,47","48,48","47,48","3,75"
6,31/03/2023,"19,52%","18,44%","29,58%","27,95%","135,40%","3,73%","18,80%","2,18%","7,54%","9,04%","1,71","37,91","36,91","3,52"
7,31/12/2022,"21,57%","20,03%","32,68%","30,35%","99,76%","3,25%","18,52%","2,11%","7,82%","9,16%","1,54","42,22","41,22","3,01"
8,30/09/2022,"22,39%","21,01%","33,93%","31,83%","172,04%","4,08%","18,34%","2,63%","8,09%","9,35%","1,55","34,30","33,30","3,10"
9,30/06/2022,"23,18%","21,73%","35,12%","32,92%","180,16%","4,32%","17,67%","2,49%","7,87%","9,13%","1,73","28,11","27,11","3,01"
10,31/03/2022,"19,46%","18,27%","29,48%","27,68%","44,77%","2,49%","17,35%","1,60%","7,73%","8,99%","1,56","36,27","35,27","3,00"
11,31/12/2021,"18,76%","17,62%","28,42%","26,70%","71,29%","3,54%","17,23%","2,22%","7,55%","8,83%","1,59","30,68","29,68","3,08"
12,30/09/2021,"16,52%","15,55%","25,02%","23,56%","46,16%","3,11%","17,09%","2,24%","7,71%","8,99%","1,39","42,22","41,22","3,34"
13,30/06/2021,"15,14%","14,31%","22,95%","21,68%","65,46%","3,24%","17,67%","2,39%","8,07%","9,44%","1,35","41,68","40,68","3,18"
14,31/03/2021,"17,12%","16,12%","25,94%","24,43%","118,24%","4,26%","19,14%","3,26%","8,97%","10,47%","1,31","17,95","16,95","3,14"
15,31/12/2020,"18,03%","16,97%","27,32%","25,71%","-247,49%","5,27%","19,76%","3,59%","9,24%","10,83%","1,47","20,15","19,15","3,23"
16,30/09/2020,"21,66%","20,15%","32,82%","30,52%","-107,74%","6,88%","20,71%","4,45%","9,62%","11,26%","1,54","14,85","13,85","3,36"
17,30/06/2020,"18,18%","17,23%","27,54%","26,10%","-175,63%","5,95%","20,48%","3,82%","9,56%","11,18%","1,56","20,22","19,22","3,84"
18,31/03/2020,"15,36%","14,61%","23,28%","22,14%","-85,31%","2,64%","19,26%","1,82%","8,70%","10,20%","1,45","27,74","26,74","3,99"
19,31/12/2019,"14,31%","13,53%","21,68%","20,50%","-5,37%","0,13%","19,23%","0,09%","8,54%","10,08%","1,34","-46,98","-47,98","4,20"
20,30/09/2019,"12,85%","12,05%","19,47%","18,25%","23,40%","-2,59%","17,76%","-1,89%","7,74%","9,31%","1,37","-15,67","-16,67","4,21"
21,30/06/2019,"13,58%","12,87%","20,58%","19,50%","34,35%","-3,08%","17,86%","-2,21%","7,90%","9,38%","1,39","-29,49","-30,49","4,44"
22,31/03/2019,"7,43%","7,05%","11,25%","10,67%","1.851,28%","-10,10%","17,85%","-7,20%","4,24%","5,74%","1,40","-32,37","-33,37","7,72"
23,31/12/2018,"7,25%","6,96%","10,98%","10,54%","-1.779,45%","-10,62%","17,57%","-7,80%","4,16%","5,53%","1,36","-42,59","-43,59","8,29"
24,30/09/2018,"7,03%","6,82%","10,65%","10,33%","-375,42%","-13,46%","17,85%","-9,54%","3,87%","5,24%","1,41","-9,02","-10,02","10,45"
25,30/06/2018,"6,43%","5,91%","9,75%","8,95%","-350,81%","-12,62%","17,59%","-8,66%","3,17%","4,52%","1,46","-11,17","-12,17","11,83"
26,31/03/2018,"15,58%","14,22%","23,61%","21,54%","-89,93%","-4,71%","17,82%","-2,95%","7,63%","8,90%","1,60","-183,24","-184,24","5,48"
27,31/12/2017,"16,15%","14,63%","24,46%","22,17%","-53,98%","-3,14%","18,48%","-2,32%","8,18%","9,37%","1,35","167,50","166,50","5,58"
28,30/09/2017,"14,12%","12,81%","21,39%","19,41%","7,03%","0,50%","18,64%","0,42%","8,36%","9,34%","1,20","27,90","26,90","5,44"
29,30/06/2017,"14,26%","12,91%","21,60%","19,55%","1,00%","0,07%","19,00%","0,06%","8,77%","9,70%","1,18","27,80","26,80","5,06"
30,31/03/2017,"12,20%","11,15%","18,48%","16,89%","32,58%","1,72%","19,16%","1,60%","8,76%","9,66%","1,08","19,07","18,07","4,75"
31,31/12/2016,"13,96%","12,65%","21,16%","19,16%","-50,74%","2,34%","19,54%","2,02%","9,19%","10,03%","1,16","17,21","16,21","4,08"
32,30/09/2016,"13,90%","12,65%","21,07%","19,16%","-53,33%","2,76%","20,80%","2,53%","9,87%","10,69%","1,09","14,11","13,11","3,77"
33,30/06/2016,"14,83%","13,44%","22,46%","20,37%","-107,71%","-3,17%","21,20%","-2,53%","10,32%","11,15%","1,25","13,61","12,61","3,50"
34,31/03/2016,"16,35%","14,60%","24,78%","22,12%","560,94%","-2,10%","20,67%","-1,72%","10,12%","10,92%","1,22","18,93","17,93","4,19"
35,31/12/2015,"16,20%","14,49%","24,55%","21,96%","-166,88%","-11,08%","20,19%","-8,41%","9,68%","10,46%","1,32","-21,64","-22,64","5,03"
36,30/09/2015,"14,65%","13,50%","22,20%","20,45%","-302,29%","-18,93%","18,95%","-13,25%","8,66%","9,48%","1,43","-19,34","-20,34","6,57"
37,30/06/2015,"13,91%","12,70%","21,07%","19,24%","-167,10%","-16,06%","18,55%","-11,14%","8,13%","8,93%","1,44","34,00","33,00","6,31"
38,31/03/2015,"12,63%","12,02%","19,14%","18,22%","-200,22%","-22,03%","19,02%","-13,87%","8,29%","9,10%","1,59","-267,28","-268,28","6,34"
39,31/12/2014,"12,98%","12,40%","19,67%","18,79%","-94,43%","-8,40%","19,37%","-5,99%","8,49%","9,34%","1,40","15,06","14,06","5,69"
40,30/09/2014,"12,60%","12,10%","19,08%","18,34%","-43,02%","-4,93%","20,29%","-3,66%","8,80%","9,71%","1,34","15,97","14,97","5,52"
41,30/06/2014,"12,26%","11,81%","18,58%","17,90%","-7,28%","-0,79%","20,78%","-0,60%","9,01%","9,97%","1,32","10,41","9,41","4,95"
42,31/03/2014,"12,50%","12,09%","18,94%","18,32%","-34,70%","-6,24%","20,87%","-4,43%","8,76%","9,77%","1,41","9,09","8,09","5,40"
43,31/12/2013,"10,38%","10,28%","15,73%","15,57%","-41,76%","-7,19%","20,63%","-5,75%","8,42%","9,48%","1,25","11,24","10,24","5,25"
44,30/09/2013,"12,23%","12,68%","18,53%","19,21%","-56,84%","-5,38%","20,48%","-4,00%","9,33%","10,41%","1,35","8,73","7,73","4,58"
45,30/06/2013,"12,02%","12,62%","18,21%","19,13%","-55,38%","-5,14%","20,75%","-3,87%","9,42%","10,55%","1,33","9,20","8,20","4,91"
46,31/03/2013,"12,53%","13,32%","18,99%","20,18%","-26,69%","-3,41%","20,71%","-2,65%","9,49%","10,64%","1,29","5,56","4,56","4,02"
47,31/12/2012,"11,09%","11,79%","16,81%","17,87%","-36,21%","-5,55%","20,91%","-4,43%","9,55%","10,72%","1,25","5,81","4,81","4,68"
48,30/09/2012,"10,07%","10,16%","15,25%","15,39%","-22,33%","-4,67%","19,82%","-3,75%","9,30%","10,47%","1,25","10,56","9,56","4,86"
49,30/06/2012,"9,62%","9,72%","14,58%","14,73%","-32,09%","-5,27%","17,57%","-3,89%","8,03%","9,17%","1,36","10,78","9,78","5,38"
50,31/03/2012,"9,38%","9,32%","14,21%","14,12%","-6,64%","-1,17%","16,41%","-0,83%","7,52%","8,63%","1,41","7,83","6,83","4,93"
51,31/12/2011,"9,36%","9,37%","14,18%","14,20%","8,96%","1,73%","15,10%","1,14%","7,10%","8,24%","1,51","6,53","5,53","5,51"
52,30/09/2011,"9,82%","10,57%","14,88%","16,01%","11,48%","2,50%","15,03%","1,56%","6,31%","7,37%","1,61","4,78","3,78","6,74"
53,30/06/2011,"9,89%","10,64%","14,99%","16,12%","13,04%","2,78%","16,47%","1,78%","6,41%","7,44%","1,56","6,09","5,09","6,63"
54,31/03/2011,"10,02%","10,75%","15,18%","16,28%","11,64%","2,67%","18,06%","1,64%","6,35%","7,11%","1,63","5,65","4,65","6,53"
55,31/12/2010,"10,40%","10,89%","15,75%","16,50%","3,96%","1,01%","19,01%","0,61%","6,42%","7,27%","1,64","5,19","4,19","5,98"
56,30/09/2010,"9,34%","9,82%","14,16%","14,88%","1,79%","0,46%","19,79%","0,29%","6,20%",NA,"1,57","4,59","3,59",NA
57,30/06/2010,"9,02%","9,27%","13,67%","14,04%","-1,22%","-0,23%","19,30%","-0,15%","6,09%",NA,"1,52","4,69","3,69",NA
58,31/03/2010,"7,80%","8,05%","11,82%","12,20%","18,46%","2,91%","18,23%","2,09%","5,73%",NA,"1,39","4,36","3,36",NA
59,31/12/2009,"7,04%","7,44%","10,66%","11,27%","25,90%","4,03%","18,07%","3,13%","5,44%",NA,"1,29","3,94","2,94",NA
