,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 26/09/2024,"8,03","1,38","15,03","236,53","1,06","R$ 115,29 B","6,18%"
1,30/06/2024,"7,53","1,29","14,09","221,65","1,00","R$ 107,52 B","7,65%"
2,31/03/2024,"7,37","1,30","13,70","269,98","1,00","R$ 104,41 B","8,52%"
3,31/12/2023,"8,22","1,33","15,00","371,54","1,05","R$ 110,24 B","8,05%"
4,30/09/2023,"6,71","1,16","12,49","-1.052,82","0,90","R$ 91,95 B","7,77%"
5,30/06/2023,"7,07","1,22","12,02","337,46","0,92","R$ 93,11 B","6,48%"
6,31/03/2023,"6,89","1,19","10,90","-453,07","0,90","R$ 87,51 B","5,06%"
7,31/12/2022,"5,73","1,08","9,23","-584,26","0,81","R$ 77,27 B","6,00%"
8,30/09/2022,"5,70","1,16","9,42","187,04","0,86","R$ 79,59 B","5,31%"
9,30/06/2022,"6,34","1,25","9,59","174,25","0,94","R$ 83,70 B","5,05%"
10,31/03/2022,"6,21","1,30","9,98","80,93","0,99","R$ 82,82 B","5,50%"
11,31/12/2021,"7,70","1,43","11,50","68,09","1,09","R$ 93,04 B","4,60%"
12,30/09/2021,"7,31","1,37","10,99","58,62","1,06","R$ 85,54 B","3,08%"
13,30/06/2021,"8,90","1,63","13,41","56,01","1,25","R$ 97,98 B","2,51%"
14,31/03/2021,"11,36","1,60","14,45","57,24","1,28","R$ 89,89 B","2,50%"
15,31/12/2020,"13,29","1,64","15,95","69,67","1,29","R$ 86,22 B","2,00%"
16,30/09/2020,"13,80","1,73","17,26","70,07","1,40","R$ 90,04 B","4,89%"
17,30/06/2020,"14,45","1,91","20,23","102,00","1,54","R$ 91,96 B","7,23%"
18,31/03/2020,"9,57","1,63","16,59","114,65","1,32","R$ 75,56 B","8,65%"
19,31/12/2019,"10,91","2,04","22,47","140,32","1,67","R$ 110,44 B","8,90%"
20,30/09/2019,"12,42","2,23","24,31","273,70","1,80","R$ 116,65 B","8,63%"
21,30/06/2019,"10,83","2,05","21,52","1.106,41","1,65","R$ 106,44 B","8,28%"
22,31/03/2019,"11,47","2,17","21,08","-180,29","1,76","R$ 99,65 B","8,09%"
23,31/12/2018,"14,48","2,48","25,43","-206,46","2,06","R$ 120,00 B","5,47%"
24,30/09/2018,"11,38","1,92","18,46","-141,53","1,58","R$ 97,46 B","8,55%"
25,30/06/2018,"10,29","1,76","17,10","88,80","1,43","R$ 87,21 B","8,32%"
26,31/03/2018,"10,56","1,93","18,52","139,03","1,52","R$ 92,04 B","7,80%"
27,31/12/2017,"11,90","1,88","20,12","149,47","1,52","R$ 99,95 B","3,55%"
28,30/09/2017,"8,87","1,44","15,38","99,25","1,17","R$ 75,91 B","5,88%"
29,30/06/2017,"8,71","1,42","15,07","-73,53","1,16","R$ 72,73 B","6,20%"
