"","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Ano"
"2024","0,42%","-0,65%","-0,17%","-0,33%","1,08%","0,83%","0,45%","0,72%","0,18%","--","--","--","2,55%"
"2023","0,05%","0,02%","0,05%","-0,58%","-1,53%","-2,20%","-1,10%","-0,13%","0,18%","0,52%","0,52%","0,62%","-3,56%"
"2022","1,79%","1,98%","1,18%","2,48%","0,10%","0,74%","0,60%","-0,69%","-0,90%","-1,04%","-0,59%","0,36%","6,10%"
"2021","1,33%","2,97%","2,99%","1,58%","3,24%","2,32%","0,18%","1,18%","-0,37%","-0,31%","1,19%","-0,14%","17,30%"
"2020","1,07%","0,01%","0,64%","1,13%","0,07%","1,55%","1,91%","2,53%","4,34%","3,20%","3,51%","1,97%","24,15%"
"2019","-0,26%","0,40%","1,40%","1,00%","0,70%","0,49%","0,61%","-0,47%","-0,29%","0,77%","0,19%","1,69%","6,39%"
"2018","0,79%","0,23%","0,45%","0,56%","1,11%","1,86%","0,93%","0,51%","1,20%","1,43%","-0,16%","-1,23%","7,92%"
"2017","0,88%","0,14%","0,05%","-0,76%","-1,10%","-0,62%","-0,84%","-0,17%","0,39%","0,49%","0,24%","0,90%","-0,42%"
"2016","0,69%","1,55%","0,58%","0,40%","0,60%","1,42%","1,06%","-0,27%","0,36%","0,12%","0,06%","0,20%","6,97%"
"2015","0,42%","0,43%","0,83%","1,27%","0,52%","0,57%","0,75%","0,34%","0,61%","1,88%","1,64%","0,81%","10,53%"
"2014","0,58%","0,30%","1,29%","1,19%","0,13%","-0,67%","-0,56%","-0,55%","0,31%","0,02%","0,82%","0,98%","3,88%"
"2013","0,42%","0,29%","0,22%","0,18%","-0,09%","0,63%","0,43%","0,15%","1,05%","1,11%","0,44%","0,44%","5,39%"
"2012","0,08%","0,04%","0,27%","0,70%","1,01%","0,73%","0,96%","1,59%","1,05%","0,42%","-0,28%","0,63%","7,43%"
"2011","0,49%","1,03%","0,84%","0,56%","0,55%","-0,22%","-0,12%","0,20%","0,63%","0,64%","0,44%","0,19%","5,35%"
"2010","0,20%","1,08%","1,10%","0,63%","1,11%","1,30%","0,05%","0,46%","1,12%","1,15%","1,16%","1,27%","11,15%"
"2009","-0,85%","0,54%","-0,31%","-0,71%","0,17%","-0,03%","-0,35%","-0,60%","0,35%","0,10%","0,07%","-0,07%","-1,69%"
"2008","1,02%","0,80%","0,61%","0,45%","1,52%","1,96%","2,00%","0,38%","-0,42%","0,78%","0,73%","0,03%","10,29%"
"2007","0,39%","0,28%","0,38%","0,18%","0,09%","0,15%","0,22%","0,64%","1,47%","1,07%","0,71%","1,59%","7,39%"
"2006","0,84%","0,17%","-0,03%","-0,65%","0,36%","0,57%","0,39%","0,27%","0,36%","0,21%","1,02%","0,47%","4,04%"
"2005","0,42%","0,31%","0,67%","1,17%","0,00%","-0,41%","-0,37%","-0,52%","-0,69%","0,48%","0,35%","0,06%","1,46%"
"2004","0,76%","0,78%","1,05%","1,20%","1,24%","1,50%","1,31%","0,84%","1,25%","0,23%","0,83%","0,77%","12,41%"
"2003","2,29%","2,42%","1,58%","1,24%","0,02%","-0,59%","-0,73%","0,21%","0,95%","0,67%","0,45%","0,59%","9,43%"
"2002","0,26%","0,14%","0,18%","0,36%","0,70%","1,35%","1,86%","2,26%","2,40%","3,32%","4,73%","4,87%","24,69%"
"2001","0,63%","0,40%","0,36%","0,94%","1,10%","0,69%","1,32%","1,67%","0,63%","0,87%","1,27%","0,42%","10,79%"
"2000","1,22%","0,55%","0,13%","0,35%","0,18%","0,76%","1,22%","2,52%","1,52%","0,51%","0,35%","0,51%","10,25%"
