"","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Ano"
"2024","-0,09%","-0,90%","-0,77%","0,29%","1,06%","0,89%","0,68%","0,29%","0,70%","--","--","--","2,15%"
"2023","0,10%","-0,20%","-0,12%","-1,45%","-2,72%","-2,73%","-1,05%","-0,17%","0,41%","0,60%","0,71%","0,97%","-5,59%"
"2022","2,30%","2,36%","2,07%","1,45%","0,45%","0,30%","0,21%","-0,71%","-1,27%","-1,44%","-0,94%","0,47%","5,27%"
"2021","3,38%","3,28%","3,56%","1,84%","5,23%","0,42%","0,71%","0,66%","-1,21%","0,53%","-0,29%","0,95%","20,59%"
"2020","0,50%","-0,19%","1,76%","1,12%","0,59%","2,25%","3,00%","3,74%","5,92%","4,15%","4,26%","0,90%","31,64%"
"2019","-0,26%","1,22%","1,67%","1,07%","0,54%","1,16%","0,40%","-1,14%","-0,09%","1,02%","0,36%","2,84%","9,09%"
"2018","0,91%","-0,02%","0,89%","0,71%","1,97%","2,33%","0,50%","1,00%","2,19%","1,10%","-0,81%","-1,67%","9,41%"
"2017","0,70%","-0,09%","-0,17%","-1,77%","-1,56%","-1,22%","-1,16%","-0,05%","0,74%","0,16%","0,66%","1,24%","-2,54%"
"2016","1,14%","1,45%","0,44%","0,29%","0,98%","2,21%","-0,01%","0,04%","0,18%","0,15%","-0,16%","0,69%","7,63%"
"2015","0,56%","-0,09%","0,92%","1,41%","0,30%","0,41%","0,73%","0,20%","1,30%","2,63%","1,93%","0,39%","11,19%"
"2014","0,31%","0,27%","2,20%","0,79%","-0,65%","-1,44%","-1,11%","-0,45%","0,13%","0,23%","1,26%","0,63%","2,13%"
"2013","0,11%","0,21%","0,01%","-0,12%","-0,30%","0,68%","0,30%","0,14%","2,11%","1,09%","0,17%","0,63%","5,12%"
"2012","-0,07%","-0,26%","0,42%","0,97%","1,17%","0,74%","1,81%","1,99%","1,25%","-0,20%","-0,19%","0,73%","8,65%"
"2011","0,76%","1,20%","0,65%","0,29%","0,03%","-0,45%","-0,22%","0,57%","0,74%","0,68%","0,52%","-0,48%","4,36%"
"2010","0,51%","1,42%","1,07%","0,72%","1,49%","1,09%","0,20%","1,24%","1,60%","1,30%","1,84%","0,63%","13,91%"
"2009","-0,95%","0,20%","-1,24%","-0,44%","-0,30%","-0,45%","-0,85%","-0,61%","0,53%","0,04%","0,08%","-0,50%","-4,41%"
"2008","1,24%","0,64%","0,96%","0,65%","2,01%","2,27%","2,20%","-0,74%","0,04%","1,24%","0,30%","-0,42%","10,84%"
"2007","0,40%","0,21%","0,33%","-0,14%","-0,09%","0,01%","0,26%","1,31%","1,83%","1,42%","0,97%","2,36%","9,20%"
"2006","1,10%","-0,06%","-0,48%","-0,77%","0,43%","1,11%","0,21%","0,46%","0,36%","0,65%","1,02%","0,29%","4,39%"
"2005","0,20%","0,20%","0,94%","0,96%","-0,77%","-1,00%","-0,65%","-0,88%","-0,76%","0,72%","0,40%","-0,27%","-0,94%"
"2004","0,98%","0,79%","1,33%","1,65%","1,52%","1,73%","1,58%","1,42%","0,90%","0,44%","0,99%","0,81%","15,08%"
"2003","2,55%","2,64%","1,72%","0,80%","-1,11%","-1,67%","-0,75%","0,20%","1,54%","0,36%","0,57%","0,64%","7,64%"
"2002","0,14%","-0,09%","-0,14%","0,52%","0,81%","2,31%","2,66%","3,20%","3,43%","5,62%","6,73%","4,45%","33,64%"
"2001","0,66%","0,08%","0,65%","1,24%","0,79%","1,31%","1,73%","1,75%","0,34%","1,53%","1,30%","-0,08%","11,88%"
"2000","1,29%","0,41%","-0,06%","0,04%","0,20%","1,25%","1,98%","3,10%","1,81%","0,59%","0,36%","0,66%","12,22%"
