"","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Ano"
"2024","0,31%","0,78%","0,36%","0,21%","0,44%","0,39%","0,30%","0,19%","0,13%","--","--","--","3,15%"
"2023","0,55%","0,76%","0,69%","0,57%","0,51%","0,04%","-0,07%","0,28%","0,35%","0,21%","0,33%","0,40%","4,72%"
"2022","0,58%","0,99%","0,95%","1,73%","0,59%","0,69%","0,13%","-0,73%","-0,37%","0,16%","0,53%","0,52%","5,90%"
"2021","0,78%","0,48%","0,93%","0,60%","0,44%","0,83%","0,72%","0,89%","1,14%","1,20%","1,17%","0,78%","10,42%"
"2020","0,71%","0,22%","0,02%","-0,01%","-0,59%","0,02%","0,30%","0,23%","0,45%","0,94%","0,81%","1,06%","4,23%"
"2019","0,30%","0,34%","0,54%","0,72%","0,35%","0,06%","0,09%","0,08%","0,09%","0,09%","0,14%","1,05%","3,91%"
"2018","0,39%","0,38%","0,10%","0,21%","0,14%","1,11%","0,64%","0,13%","0,09%","0,58%","0,19%","-0,16%","3,86%"
"2017","0,31%","0,54%","0,15%","0,21%","0,24%","0,16%","-0,18%","0,35%","0,11%","0,34%","0,32%","0,35%","2,94%"
"2016","0,92%","1,42%","0,43%","0,51%","0,86%","0,40%","0,54%","0,45%","0,23%","0,19%","0,26%","0,19%","6,58%"
"2015","0,89%","1,33%","1,24%","1,07%","0,60%","0,99%","0,59%","0,43%","0,39%","0,66%","0,85%","1,18%","10,71%"
"2014","0,67%","0,70%","0,73%","0,78%","0,58%","0,47%","0,17%","0,14%","0,39%","0,48%","0,38%","0,79%","6,46%"
"2013","0,88%","0,68%","0,49%","0,51%","0,46%","0,38%","0,07%","0,16%","0,27%","0,48%","0,57%","0,75%","5,85%"
"2012","0,65%","0,53%","0,25%","0,43%","0,51%","0,18%","0,33%","0,39%","0,48%","0,65%","0,54%","0,69%","5,78%"
"2011","0,76%","0,97%","0,60%","0,77%","0,70%","0,23%","0,10%","0,27%","0,53%","0,42%","0,46%","0,56%","6,56%"
"2010","0,52%","0,94%","0,55%","0,48%","0,63%","0,19%","-0,09%","-0,05%","0,31%","0,62%","0,86%","0,69%","5,79%"
"2009","0,40%","0,63%","0,11%","0,36%","0,59%","0,38%","0,22%","0,23%","0,19%","0,18%","0,44%","0,38%","4,19%"
"2008","0,70%","0,64%","0,23%","0,59%","0,56%","0,90%","0,63%","0,35%","0,26%","0,30%","0,49%","0,29%","6,10%"
"2007","0,52%","0,46%","0,41%","0,22%","0,26%","0,29%","0,24%","0,42%","0,29%","0,24%","0,23%","0,70%","4,36%"
"2006","0,51%","0,52%","0,37%","0,17%","0,27%","-0,15%","-0,02%","0,19%","0,05%","0,29%","0,37%","0,35%","2,96%"
"2005","0,68%","0,74%","0,35%","0,74%","0,83%","0,12%","0,11%","0,28%","0,16%","0,56%","0,78%","0,38%","5,88%"
"2004","0,68%","0,90%","0,40%","0,21%","0,54%","0,56%","0,93%","0,79%","0,49%","0,32%","0,63%","0,84%","7,54%"
"2003","1,98%","2,19%","1,14%","1,14%","0,85%","0,22%","-0,18%","0,27%","0,57%","0,66%","0,17%","0,46%","9,86%"
"2002","0,62%","0,44%","0,40%","0,78%","0,42%","0,33%","0,77%","1,00%","0,62%","0,90%","2,08%","3,05%","11,99%"
"2001","0,63%","0,50%","0,36%","0,50%","0,49%","0,38%","0,94%","1,18%","0,38%","0,37%","0,99%","0,55%","7,51%"
"2000","--","--","--","--","0,09%","0,08%","0,78%","1,99%","0,45%","0,18%","0,17%","0,60%","4,41%"
