"","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Ano"
"2024","-0,27%","-0,41%","-0,30%","0,72%","0,87%","0,50%","0,83%","0,12%","1,03%","--","--","--","3,12%"
"2023","0,06%","0,04%","-0,34%","-1,01%","-2,33%","-1,45%","-0,40%","0,05%","0,45%","0,51%","0,50%","0,64%","-3,28%"
"2022","2,01%","1,50%","2,37%","0,41%","0,69%","0,62%","-0,38%","-0,55%","-1,22%","-0,62%","-0,18%","0,31%","5,01%"
"2021","2,91%","2,71%","2,17%","2,22%","3,40%","0,11%","1,45%","-0,14%","-0,55%","1,60%","-0,58%","1,25%","17,74%"
"2020","0,09%","0,01%","1,64%","0,05%","1,07%","1,60%","2,34%","3,87%","3,30%","3,68%","2,64%","0,76%","23,07%"
"2019","0,07%","1,25%","1,07%","0,90%","0,40%","0,63%","-0,01%","-0,51%","0,50%","0,55%","0,85%","1,74%","7,68%"
"2018","0,58%","0,15%","0,56%","0,93%","1,64%","1,48%","0,44%","0,68%","1,79%","0,26%","-1,14%","-0,45%","7,10%"
"2017","0,43%","0,06%","-0,38%","-1,24%","-0,51%","-0,96%","-0,30%","0,24%","0,62%","0,10%","0,80%","0,74%","-0,42%"
"2016","1,53%","0,79%","0,43%","0,36%","1,13%","1,63%","-0,39%","0,43%","0,03%","0,13%","0,05%","0,83%","7,15%"
"2015","0,67%","0,53%","1,21%","0,92%","0,40%","0,68%","0,58%","0,40%","1,42%","1,76%","1,19%","0,44%","10,68%"
"2014","0,40%","0,85%","1,48%","0,45%","-0,45%","-0,63%","-0,55%","0,06%","0,02%","0,59%","1,14%","0,38%","3,78%"
"2013","0,31%","0,20%","0,31%","-0,06%","0,32%","0,76%","0,14%","0,46%","1,36%","0,63%","0,28%","0,69%","5,53%"
"2012","0,30%","0,07%","0,56%","1,02%","0,91%","0,69%","1,52%","1,29%","0,88%","-0,31%","0,25%","0,66%","8,11%"
"2011","0,98%","0,96%","0,61%","0,50%","0,01%","-0,13%","-0,05%","0,61%","0,75%","0,40%","0,43%","-0,16%","5,01%"
"2010","1,01%","1,09%","0,63%","0,72%","1,57%","0,34%","0,22%","1,10%","1,10%","1,03%","1,58%","0,38%","11,31%"
"2009","0,01%","-0,13%","-0,84%","0,04%","0,18%","-0,32%","-0,64%","0,09%","0,25%","-0,04%","0,07%","-0,11%","-1,44%"
"2008","0,99%","0,38%","0,70%","1,12%","1,88%","1,89%","1,12%","-0,38%","0,36%","1,09%","0,07%","-0,44%","9,11%"
"2007","0,43%","0,23%","0,22%","0,14%","0,16%","0,26%","0,37%","1,39%","1,17%","0,75%","1,05%","1,47%","7,90%"
"2006","0,72%","-0,06%","-0,45%","0,02%","0,38%","0,67%","0,17%","0,41%","0,24%","0,81%","0,57%","0,26%","3,80%"
"2005","0,33%","0,40%","0,99%","0,51%","-0,25%","-0,45%","-0,40%","-0,79%","-0,13%","0,63%","0,33%","0,07%","1,23%"
"2004","0,80%","1,08%","0,93%","1,15%","1,46%","1,29%","1,14%","1,31%","0,48%","0,53%","0,82%","0,52%","12,13%"
"2003","2,17%","1,59%","1,66%","0,41%","-0,67%","-0,70%","-0,20%","0,62%","1,05%","0,44%","0,48%","0,60%","7,66%"
"2002","0,19%","0,18%","0,11%","0,70%","1,11%","1,74%","2,05%","2,36%","2,64%","4,21%","5,84%","2,70%","26,41%"
"2001","0,49%","0,34%","0,80%","1,13%","0,44%","1,46%","1,62%","0,90%","0,38%","1,45%","0,76%","0,18%","10,40%"
"2000","1,02%","0,19%","0,18%","0,13%","0,67%","0,93%","2,26%","1,82%","0,69%","0,37%","0,39%","0,76%","9,80%"
