,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"-125,45%","-10,31%","5,94%","-12,89%","0,80","1.141,89","1.140,89"
1,31/03/2024,"-78,04%","-6,75%","4,70%","-8,85%","0,76","30,34","29,34"
2,31/12/2023,"-62,54%","-5,20%","4,28%","-6,49%","0,80","22,98","21,98"
3,30/09/2023,"-54,26%","-5,11%","2,65%","-6,47%","0,79","18,32","17,32"
4,30/06/2023,"-35,90%","-3,70%","4,41%","-4,17%","0,89","12,17","11,17"
5,31/03/2023,"-34,79%","-4,64%","8,08%","-4,52%","1,03","11,56","10,56"
6,31/12/2022,"-4,27%","-0,36%","11,77%","-0,35%","1,04","12,03","11,03"
7,30/09/2022,"14,93%","2,02%","17,15%","1,80%","1,12","10,61","9,61"
8,30/06/2022,"75,58%","7,44%","22,29%","6,02%","1,24","9,69","8,69"
9,31/03/2022,"3.573,73%","16,34%","27,31%","14,02%","1,17","7,49","6,49"
10,31/12/2021,"-635,01%","16,25%","30,35%","13,24%","1,23","11,77","10,77"
11,30/09/2021,"-320,31%","16,60%","31,51%","14,87%","1,12","7,40","6,40"
12,30/06/2021,"-276,64%","11,06%","30,48%","11,15%","0,99","10,15","9,15"
13,31/03/2021,"54,84%","-0,71%","25,18%","-0,80%","0,89","218,66","217,66"
14,31/12/2020,"-136,98%","-9,82%","19,15%","-11,43%","0,86","-39,09","-40,09"
15,30/09/2020,"-144,00%","-15,98%","14,96%","-19,94%","0,80","-19,30","-20,30"
16,30/06/2020,"-117,88%","-15,57%","12,04%","-19,94%","0,78","-25,01","-26,01"
17,31/03/2020,"-87,77%","-11,89%","11,74%","-14,19%","0,84","-77,16","-78,16"
18,31/12/2019,"-41,22%","-4,73%","12,70%","-5,35%","0,88","13,95","12,95"
19,30/09/2019,"0,64%","0,08%","13,12%","0,08%","0,90","9,01","8,01"
20,30/06/2019,"39,62%","3,92%","15,71%","3,96%","0,99","7,57","6,57"
21,31/03/2019,"39,76%","6,01%","18,38%","5,48%","1,10","7,38","6,38"
22,31/12/2018,"43,98%","5,37%","19,99%","4,94%","1,09","8,72","7,72"
23,30/09/2018,"43,09%","6,26%","23,28%","5,97%","1,05","8,47","7,47"
24,30/06/2018,"43,09%","6,26%","23,28%","5,97%","1,05","8,47","7,47"
25,31/03/2018,"43,23%","5,11%","23,94%","5,40%","0,95","10,11","9,11"
26,31/12/2017,"149,09%","7,88%","26,11%","8,29%","0,95","8,18","7,18"
27,30/09/2017,"21,77%","2,19%","25,80%","2,39%","0,92","6,88","5,88"
28,30/06/2017,"22,28%","2,43%","26,32%","2,64%","0,92","8,47","7,47"
29,31/03/2017,"13,21%","1,01%","27,12%","1,18%","0,85","9,78","8,78"
30,31/12/2016,"-20,34%","-0,69%","26,69%","-0,86%","0,79","18,92","17,92"
31,30/09/2016,"98,89%","3,85%","25,83%","4,74%","0,81","9,92","8,92"
32,30/06/2016,"60,26%","5,68%","25,25%","6,01%","0,94","9,15","8,15"
33,31/03/2016,"97,30%","6,78%","24,41%","7,44%","0,91","13,12","12,12"
34,31/12/2015,"52,00%","6,35%","21,95%","6,64%","0,96","29,65","28,65"
35,30/09/2015,"40,01%","6,09%","19,55%","6,40%","0,95","25,69","24,69"
36,30/06/2015,"20,33%","3,61%","16,78%","3,72%","0,97","10,61","9,61"
37,31/03/2015,"8,60%","1,52%","13,66%","1,60%","0,95","14,36","13,36"
38,31/12/2014,"11,45%","1,79%","12,98%","1,88%","0,95","8,18","7,18"
39,30/09/2014,"10,09%","1,77%","12,74%","1,80%","0,99","6,57","5,57"
40,30/06/2014,"12,14%","2,16%","13,09%","2,12%","1,02","5,63","4,63"
41,31/03/2014,"12,14%","2,16%","13,09%","2,12%","1,02","5,63","4,63"
42,31/12/2013,"5,94%","1,24%","12,57%","1,24%","1,00","6,41","5,41"
43,30/09/2013,"9,23%","1,87%","12,01%","1,98%","0,95","5,69","4,69"
44,30/06/2013,"2,82%","0,59%","10,56%","0,64%","0,92","5,63","4,63"
45,31/03/2013,"-6,85%","-1,70%","10,05%","-1,84%","0,93","4,82","3,82"
46,31/12/2012,"-7,51%","-1,96%","9,30%","-2,06%","0,95","4,80","3,80"
47,30/09/2012,"-12,16%","-3,27%","8,84%","-3,40%","0,96","4,93","3,93"
48,30/06/2012,"-19,48%","-6,06%","8,93%","-6,11%","0,99","4,79","3,79"
49,31/03/2012,"-6,34%","-1,96%","10,27%","-2,00%","0,98","4,02","3,02"
50,31/12/2011,"-5,05%","-1,52%","11,63%","-1,58%","0,96","3,84","2,84"
51,30/09/2011,"0,31%","0,09%","13,90%","0,10%","0,90","3,72","2,72"
52,30/06/2011,"16,34%","4,52%","14,98%","5,34%","0,85","3,21","2,21"
53,31/03/2011,"43,70%","9,26%","15,22%","7,74%","1,20","3,23","2,23"
54,31/12/2010,"39,97%","8,57%","16,02%","7,43%","1,15","3,32","2,32"
55,30/09/2010,"11,83%","3,02%","16,09%","3,00%","1,00","3,35","2,35"
56,30/06/2010,"14,60%","3,28%","18,11%","3,86%","0,85","3,61","2,61"
57,31/03/2010,"26,32%","4,32%","18,24%","5,82%","0,74","4,72","3,72"
58,31/12/2009,"24,93%","4,04%","16,94%","6,02%","0,67","4,66","3,66"
59,30/09/2009,"-5,50%","-1,48%","17,97%","-2,18%","0,68","3,92","2,92"
60,30/06/2009,"-26,21%","-8,39%","15,73%","-11,27%","0,74","4,45","3,45"
61,31/03/2009,"-43,89%","-12,14%","15,17%","-15,33%","0,79","6,09","5,09"
62,31/12/2008,"-43,29%","-11,93%","15,69%","-13,88%","0,86","6,17","5,17"
63,30/09/2008,"-5,94%","-1,82%","15,24%","-1,91%","0,95","3,72","2,72"
64,30/06/2008,"10,69%","3,14%","16,00%","3,43%","0,91","3,12","2,12"
65,31/03/2008,"11,82%","3,30%","17,09%","2,78%","1,19","3,61","2,61"
66,31/12/2007,"12,70%","3,36%","18,32%","3,10%","1,08","3,63","2,63"
67,30/09/2007,"13,84%","3,73%","19,97%","3,74%","1,00","3,26","2,26"
68,30/06/2007,"9,35%","2,71%","19,67%","2,80%","0,97","3,41","2,41"
69,31/03/2007,"1,89%","0,55%","18,17%","0,65%","0,85","3,58","2,58"
70,31/12/2006,"2,23%","0,65%","16,94%","0,78%","0,83","3,78","2,78"
71,30/09/2006,"-0,73%","-0,23%","15,57%","-0,28%","0,84","3,71","2,71"
72,30/06/2006,"1,24%","0,37%","15,24%","0,48%","0,78","3,45","2,45"
73,31/03/2006,"1,24%","0,37%","15,24%","0,48%","0,78","3,45","2,45"
74,31/12/2005,"14,95%","4,20%","20,75%","4,79%","0,88","3,44","2,44"
75,30/09/2005,"30,42%","7,08%","23,29%","9,22%","0,77","3,16","2,16"
76,30/06/2005,"76,20%","10,80%","25,33%","12,12%","0,89","3,31","2,31"
77,31/03/2005,"36,50%","5,84%","25,59%","6,72%","0,87","3,44","2,44"
78,31/12/2004,"32,70%","4,98%","25,54%","5,67%","0,88","3,56","2,56"
79,30/09/2004,"0,38%","0,06%","23,33%","0,07%","0,86","4,30","3,30"
80,30/06/2004,"-23,41%","-3,97%","22,61%","-5,11%","0,78","7,06","6,06"
81,31/03/2004,"4,82%","0,65%","21,41%","0,94%","0,69","6,25","5,25"
82,31/12/2003,"11,81%","1,53%","20,19%","2,12%","0,72","6,57","5,57"
83,30/09/2003,"186,33%","10,94%","19,38%","15,03%","0,73","5,98","4,98"
84,30/06/2003,"-8,64%","-2,65%","19,15%","-1,55%","1,71","5,90","4,90"
85,31/03/2003,"-37,71%","-14,47%","19,01%","-9,48%","1,53","7,45","6,45"
86,31/12/2002,"-45,06%","-17,32%","17,99%","-14,89%","1,16","7,73","6,73"
87,30/09/2002,NA,NA,"18,67%","-41,13%",NA,"17,03","16,03"
88,30/06/2002,NA,NA,"15,94%","-13,00%",NA,"3,25","2,25"
89,31/03/2002,NA,NA,"16,05%","-2,42%",NA,"2,61","1,61"
