,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 01/10/2024,"5,51","10,94","1,04","5,00","1,08","R$ 15,72 B","14,56%"
1,30/06/2024,"4,97","9,87","0,94","4,51","0,97","R$ 14,10 B","10,51%"
2,31/03/2024,"5,67","16,61","0,96","4,87","0,96","R$ 14,45 B","10,19%"
3,31/12/2023,NA,NA,NA,NA,NA,"R$ 14,67 B","0,06%"
4,30/09/2023,NA,NA,NA,NA,NA,"R$ 16,99 B","2,53%"
5,30/06/2023,"36,16","163,95","0,94","4,14","1,17","R$ 16,33 B","9,71%"
6,31/03/2023,NA,NA,NA,NA,NA,"R$ 16,83 B","10,45%"
7,31/12/2022,"9,14","16,04","0,95","4,82","1,31","R$ 16,66 B","11,20%"
8,30/09/2022,"9,51","9,80","0,99","5,38","1,26","R$ 16,50 B","20,30%"
9,30/06/2022,"8,65","13,32","1,13","6,93","1,31","R$ 16,53 B","13,06%"
10,31/03/2022,"8,06","19,24","1,30","7,59","1,30","R$ 16,62 B","12,80%"
11,31/12/2021,"7,82","15,00","1,42","6,61","1,35","R$ 16,34 B","8,86%"
12,30/09/2021,"10,13","9,67","1,95","8,07","1,52","R$ 20,34 B","5,48%"
13,30/06/2021,"12,74","14,20","2,21","8,45","1,80","R$ 21,09 B","5,31%"
14,31/03/2021,"14,81","20,03","2,27","7,47","1,89","R$ 19,22 B","5,98%"
15,31/12/2020,"19,00","37,06","2,63","10,43","2,06","R$ 21,66 B","5,15%"
16,30/09/2020,"18,56","18,33","2,62","10,99","1,92","R$ 22,50 B","16,16%"
17,30/06/2020,"18,36","26,71","2,79","10,02","2,19","R$ 24,69 B","14,57%"
18,31/03/2020,"13,07","26,47","2,07","8,37","2,39","R$ 20,48 B","17,77%"
19,31/12/2019,"19,59","51,55","2,81","10,66","3,17","R$ 27,41 B","13,41%"
20,30/09/2019,"6,63","3,31","1,39","5,64","1,27","R$ 12,54 B","4,77%"
21,30/06/2019,"6,69","3,28","1,31","5,96","1,18","R$ 10,71 B","5,46%"
22,31/03/2019,"7,99","3,72","1,45","7,08","1,26","R$ 10,88 B","5,41%"
23,31/12/2018,"7,34","3,61","1,44","6,25","1,18","R$ 10,02 B","5,95%"
24,30/09/2018,"11,85","3,15","1,22","4,61","0,87","R$ 7,84 B","11,00%"
25,30/06/2018,"11,59","3,44","1,31","4,82","0,88","R$ 7,96 B","10,90%"
26,31/03/2018,"11,24","3,67","1,38","4,82","0,97","R$ 7,96 B","10,58%"
27,31/12/2017,"13,00","4,13","1,50","5,08","0,96","R$ 8,35 B","10,22%"
28,30/09/2017,"10,66","2,32","1,18","3,74","0,72","R$ 6,32 B","8,97%"
29,30/06/2017,"9,75","2,33","1,12","3,39","0,69","R$ 5,91 B","9,67%"
30,31/03/2017,"7,11","2,36","1,04","2,82","0,68","R$ 5,71 B","9,94%"
31,31/12/2016,"6,52","2,27","1,04","2,81","0,68","R$ 5,92 B","23,29%"
32,30/09/2016,"6,25","2,29","1,05","3,36","0,77","R$ 6,39 B","24,22%"
33,30/06/2016,"6,04","2,35","0,94","3,00","0,76","R$ 6,05 B","25,67%"
34,31/03/2016,"5,71","2,25","0,76","2,69","0,65","R$ 5,09 B","29,96%"
35,31/12/2015,"6,59","1,45","0,70","2,38","0,52","R$ 4,76 B","39,38%"
36,30/09/2015,"7,65","1,43","0,71","2,52","0,55","R$ 4,74 B","10,13%"
37,30/06/2015,"8,60","1,60","0,76","3,06","0,60","R$ 4,90 B","9,61%"
38,31/03/2015,"10,31","1,74","0,86","3,71","0,67","R$ 5,62 B","8,41%"
39,31/12/2014,"10,31","1,74","0,86","3,71","0,67","R$ 5,62 B","8,41%"
40,30/09/2014,"8,20","1,61","0,79","3,80","0,66","R$ 5,02 B","3,80%"
41,30/06/2014,"9,58","2,06","0,95","4,86","0,84","R$ 6,20 B","2,63%"
42,31/03/2014,"8,90","2,00","0,87","4,91","0,78","R$ 5,64 B","2,83%"
43,31/12/2013,"8,93","2,08","0,87","5,86","0,80","R$ 5,64 B","1,99%"
44,30/09/2013,"11,22","2,45","1,03","7,45","0,96","R$ 6,57 B","3,05%"
45,30/06/2013,"11,34","2,51","1,04","7,89","0,94","R$ 6,29 B","3,17%"
46,31/03/2013,"14,48","2,61","1,07","9,02","0,96","R$ 6,12 B","3,27%"
47,31/12/2012,"17,29","2,81","1,20","12,99","1,06","R$ 6,48 B","3,09%"
48,30/09/2012,"21,50","3,95","1,20","10,95","1,18","R$ 5,98 B","0,27%"
49,30/06/2012,"25,15","3,44","1,02","9,03","0,98","R$ 4,77 B","0,67%"
50,31/03/2012,"20,89","3,82","1,17","8,88","1,12","R$ 5,14 B","1,35%"
51,31/12/2011,"19,44","3,68","1,12","7,03","1,07","R$ 4,69 B","9,59%"
52,30/09/2011,"12,01","3,17","0,97","4,62","0,92","R$ 4,02 B","12,07%"
53,30/06/2011,"9,31","3,69","1,09","4,94","1,12","R$ 4,50 B","10,95%"
54,31/03/2011,"9,68","3,59","1,27","5,33","1,36","R$ 5,25 B","7,71%"
55,31/12/2010,"8,25","3,47","1,17","4,40","1,24","R$ 4,87 B","8,75%"
56,30/09/2010,"13,28","2,90","1,06","3,52","1,04","R$ 4,12 B","11,71%"
57,30/06/2010,NA,"3,24",NA,"12,25","1,06","R$ 4,12 B","10,04%"
58,31/03/2010,NA,"2,67",NA,"5,92","1,00","R$ 3,78 B","10,11%"
59,31/12/2009,"11,01","3,17","1,04","4,10","1,06","R$ 4,11 B","6,49%"
60,30/09/2009,"9,55","2,80","0,90","5,68","0,93","R$ 3,67 B","5,46%"
61,30/06/2009,"8,33","3,14","0,89","5,57","0,99","R$ 3,81 B","5,27%"
62,31/03/2009,"7,21","3,20","0,86","8,31","0,91","R$ 3,61 B","5,54%"
