,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"56,03%","-12,66%","-64,05%","-422,56%","0,03","-2,50","-3,50"
1,31/03/2024,"67,09%","-12,53%","-66,49%","-394,56%","0,03","-2,73","-3,73"
2,31/12/2023,"74,46%","-12,46%","-52,20%","-319,70%","0,04","-2,96","-3,96"
3,30/09/2023,"-14,19%","3,88%","-34,46%","60,70%","0,06","-4,04","-5,04"
4,30/06/2023,"-27,98%","8,00%","-48,56%","144,73%","0,06","-4,42","-5,42"
5,31/03/2023,"-34,93%","10,34%","-63,95%","210,54%","0,05","-5,36","-6,36"
6,31/12/2022,"-37,24%","10,08%","-77,25%","241,27%","0,04","-5,98","-6,98"
7,30/09/2022,"-2,95%","0,83%","-49,16%","21,92%","0,04","-3,65","-4,65"
8,30/06/2022,"10,47%","-2,82%","-66,24%","-131,28%","0,02","-3,50","-4,50"
9,31/03/2022,"13,96%","-3,49%","-45,07%","-128,37%","0,03","-3,38","-4,38"
10,31/12/2021,"10,70%","-2,64%","-38,88%","-82,40%","0,03","-3,70","-4,70"
11,30/09/2021,"25,07%","-5,62%","-98,10%","-350,37%","0,02","-3,56","-4,56"
12,30/06/2021,"32,54%","-6,61%","-68,86%","-219,55%","0,03","-3,71","-4,71"
13,31/03/2021,"52,46%","-7,97%","-119,02%","-350,00%","0,02","-4,00","-5,00"
14,31/12/2020,"67,00%","-8,99%","-86,74%","-321,27%","0,03","-4,06","-5,06"
15,30/09/2020,"-1.313,38%","-19,73%","-55,20%","-558,14%","0,04","-4,46","-5,46"
16,30/06/2020,"-383,68%","-22,40%","-51,25%","-536,21%","0,04","-4,92","-5,92"
17,31/03/2020,"-236,20%","-23,65%","-35,58%","-472,75%","0,05","-6,58","-7,58"
18,31/12/2019,"-191,53%","-24,87%","-58,47%","-537,41%","0,05","-7,45","-8,45"
19,30/09/2019,"-82,65%","-12,45%","-31,25%","-211,54%","0,06","66,56","65,56"
20,30/06/2019,"-61,33%","-10,88%","-21,75%","-139,59%","0,08","17,13","16,13"
21,31/03/2019,"-49,13%","-10,36%","-26,68%","-119,48%","0,09","9,99","8,99"
22,31/12/2018,"-45,23%","-11,44%","-27,00%","-102,31%","0,11","7,70","6,70"
23,30/09/2018,"-47,61%","-13,75%","-40,05%","-132,19%","0,10","6,64","5,64"
24,30/06/2018,"-41,26%","-12,84%","-29,54%","-115,81%","0,11","5,64","4,64"
25,31/03/2018,"-35,18%","-11,96%","-18,89%","-87,75%","0,14","4,74","3,74"
26,31/12/2017,"-30,45%","-10,83%","-8,19%","-71,54%","0,15","3,95","2,95"
27,30/09/2017,"-41,76%","-13,77%","-22,42%","-76,95%","0,18","3,46","2,46"
28,30/06/2017,"-40,93%","-14,54%","-17,38%","-65,29%","0,22","3,21","2,21"
29,31/03/2017,"-36,30%","-13,74%","-5,32%","-47,44%","0,29","2,94","1,94"
30,31/12/2016,"-31,11%","-12,07%","1,62%","-38,20%","0,32","2,81","1,81"
31,30/09/2016,"-18,38%","-7,28%","10,76%","-18,61%","0,39","3,03","2,03"
32,30/06/2016,"-11,57%","-4,74%","12,38%","-10,29%","0,46","2,81","1,81"
33,31/03/2016,"-7,42%","-3,08%","12,13%","-6,24%","0,49","2,64","1,64"
34,31/12/2015,"-2,66%","-1,13%","11,48%","-2,01%","0,57","2,58","1,58"
35,30/09/2015,"-0,21%","-0,09%","14,39%","-0,15%","0,58","2,53","1,53"
36,30/06/2015,"1,76%","0,83%","15,65%","1,29%","0,64","2,44","1,44"
37,31/03/2015,"1,79%","0,85%","15,15%","1,28%","0,66","2,41","1,41"
38,31/12/2014,"2,10%","0,97%","16,86%","1,54%","0,63","2,34","1,34"
39,30/09/2014,"-1,98%","-1,00%","16,65%","-1,55%","0,65","2,33","1,33"
40,30/06/2014,"-6,95%","-3,61%","13,95%","-6,17%","0,59","2,14","1,14"
41,31/03/2014,"-9,39%","-5,08%","13,58%","-8,72%","0,58","2,11","1,11"
42,31/12/2013,"-9,83%","-5,10%","11,68%","-9,23%","0,55","2,16","1,16"
43,30/09/2013,"-5,50%","-2,75%","11,62%","-4,65%","0,59","1,98","0,98"
44,30/06/2013,"-3,61%","-1,86%","11,55%","-3,36%","0,55","1,92","0,92"
45,31/03/2013,"-2,34%","-1,23%","10,95%","-2,38%","0,52","1,85","0,85"
46,31/12/2012,"-5,75%","-3,01%","7,86%","-6,41%","0,47","1,93","0,93"
47,30/09/2012,"-4,30%","-2,19%","6,11%","-4,91%","0,45","2,00","1,00"
48,30/06/2012,"-0,82%","-0,39%","10,42%","-0,78%","0,50","1,94","0,94"
49,31/03/2012,"2,63%","1,23%","12,45%","2,31%","0,53","1,91","0,91"
50,31/12/2011,"7,61%","3,59%","14,98%","5,68%","0,63","1,91","0,91"
51,30/09/2011,"5,02%","1,39%","14,29%","2,14%","0,65","1,96","0,96"
52,30/06/2011,"3,45%","1,20%","9,32%","2,08%","0,58","2,09","1,09"
53,31/03/2011,"1,98%","0,75%","8,98%","1,12%","0,66","2,14","1,14"
54,31/12/2010,"4,54%","1,14%","8,71%","1,23%","0,92","2,12","1,12"
55,30/09/2010,"34,92%","9,44%","10,92%","9,39%","1,01","3,60","2,60"
56,30/06/2010,"12,28%","3,48%","14,82%","3,34%","1,04","2,88","1,88"
57,31/03/2010,"11,51%","3,60%","14,41%","3,23%","1,11","2,66","1,66"
58,31/12/2009,"7,66%","2,45%","14,47%","2,34%","1,05","3,99","2,99"
59,30/09/2009,"4,94%","1,78%","14,26%","1,77%","1,01","3,70","2,70"
60,30/06/2009,"6,26%","2,48%","15,52%","2,45%","1,01","3,53","2,53"
61,31/03/2009,"6,13%","2,63%","15,41%","2,56%","1,03","3,20","2,20"
62,31/12/2008,"6,05%","2,80%","14,83%","2,55%","1,10","3,12","2,12"
63,30/09/2008,"11,28%","5,58%","15,49%","5,11%","1,09","2,77","1,77"
64,30/06/2008,"11,04%","6,36%","15,07%","5,49%","1,16","2,52","1,52"
65,31/03/2008,"7,03%","4,34%","15,09%","4,11%","1,06","2,33","1,33"
66,31/12/2007,"24.035,71%","2,95%","14,86%","3,29%","0,90","2,16","1,16"
67,30/09/2007,"2,82%","1,73%","15,34%","2,20%","0,79","2,02","1,02"
68,30/06/2007,"1,60%","0,98%","15,49%","1,40%","0,70","1,74","0,74"
69,31/03/2007,"3,85%","2,03%","15,86%","3,30%","0,61","1,62","0,62"
70,31/12/2006,"5,14%","2,61%","15,28%","4,09%","0,64","8.145,67","8.144,67"
71,30/09/2006,"7,67%","4,24%","12,12%","5,65%","0,75","1,64","0,64"
72,30/06/2006,"1,46%","0,91%","9,37%","1,05%","0,87","1,64","0,64"
73,31/03/2006,"-0,20%","-0,13%","7,98%","-0,14%","0,97","1,90","0,90"
74,31/12/2005,"-1,39%","-0,79%","7,17%","-0,95%","0,83","1,97","0,97"
75,30/09/2005,"-4,49%","-2,68%","9,05%","-3,27%","0,82","1,81","0,81"
76,30/06/2005,"-0,10%","-0,06%","10,44%","-0,08%","0,80","1,60","0,60"
77,31/03/2005,"1,15%","0,79%","11,61%","0,93%","0,85","1,52","0,52"
78,31/12/2004,"3,11%","2,18%","13,19%","2,66%","0,82","1,75","0,75"
79,30/09/2004,"1,18%","0,83%","11,39%","1,12%","0,75","1,68","0,68"
80,30/06/2004,"1,42%","0,99%","11,16%","1,59%","0,62","1,63","0,63"
81,31/03/2004,"0,82%","0,59%","10,21%","1,07%","0,55","1,46","0,46"
82,31/12/2003,"0,78%","0,55%","10,71%","1,10%","0,50","1,43","0,43"
83,30/09/2003,"1,88%","1,38%","14,00%","2,93%","0,47","1,42","0,42"
84,30/06/2003,"3,93%","2,70%","14,90%","6,19%","0,44","1,43","0,43"
85,31/03/2003,"5,37%","3,51%","15,51%","8,13%","0,43","1,39","0,39"
86,31/12/2002,"5,74%","3,70%","13,78%","8,35%","0,44","1,42","0,42"
87,30/09/2002,NA,NA,"9,85%","6,75%",NA,"1,37","0,37"
88,30/06/2002,NA,NA,"7,32%","3,13%",NA,"1,45","0,45"
89,31/03/2002,NA,NA,"5,80%","1,79%",NA,"1,53","0,53"
90,31/12/2001,"2,39%","1,52%","6,05%","2,35%","0,65","1,55","0,55"
91,30/06/2001,"7,04%","4,93%","13,12%","8,51%","0,58","1,73","0,73"
92,31/03/2001,"8,71%","6,51%","15,89%","11,93%","0,55","1,63","0,63"
93,31/12/2000,"7,76%","5,73%","17,61%","10,76%","0,53","1,57","0,57"
94,30/09/2000,"5,61%","3,92%","18,21%","11,51%","0,34","1,50","0,50"
95,30/06/2000,"3,93%","2,95%","16,32%","10,08%","0,29","1,43","0,43"
96,31/03/2000,"4,54%","3,32%","15,55%","12,27%","0,27","1,34","0,34"
