,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"16,27%","0,85%","27,51%","6,15%","0,14","17,77","16,77"
1,31/03/2024,"17,31%","0,93%","27,00%","6,36%","0,15","19,60","18,60"
2,31/12/2023,"16,25%","0,88%","26,45%","5,93%","0,15","19,53","18,53"
3,30/09/2023,"17,34%","0,87%","25,37%","6,20%","0,14","19,79","18,79"
4,30/06/2023,"17,05%","0,87%","24,23%","5,95%","0,15","19,07","18,07"
5,31/03/2023,"16,53%","0,86%","23,54%","5,81%","0,15","18,53","17,53"
6,31/12/2022,"18,86%","1,02%","24,26%","6,73%","0,15","18,49","17,49"
7,30/09/2022,NA,NA,"24,75%","7,02%",NA,"19,99","18,99"
8,30/06/2022,NA,NA,"28,02%","8,44%",NA,"19,70","18,70"
9,31/03/2022,NA,NA,"32,33%","8,16%",NA,"19,25","18,25"
10,31/12/2021,"13,68%","0,76%","37,48%","9,42%","0,08","18,56","17,56"
11,30/09/2021,"14,43%","0,67%","38,72%","11,35%","0,06","18,38","17,38"
12,30/06/2021,"13,97%","0,82%","42,37%","12,06%","0,07","18,11","17,11"
13,31/03/2021,"13,51%","0,78%","42,00%","11,78%","0,07","18,19","17,19"
14,31/12/2020,"13,94%","0,93%","46,04%","11,77%","0,08","18,12","17,12"
15,30/09/2020,"13,78%","0,90%","38,45%","10,64%","0,08","21,65","20,65"
16,30/06/2020,"14,99%","0,83%","34,61%","10,24%","0,08","17,12","16,12"
17,31/03/2020,"15,29%","0,92%","32,23%","9,71%","0,09","17,39","16,39"
18,31/12/2019,"14,61%","0,77%","35,09%","8,77%","0,09","14,96","13,96"
19,30/09/2019,"14,71%","0,74%","27,28%","8,20%","0,09","15,37","14,37"
20,30/06/2019,"14,79%","0,89%","27,99%","8,11%","0,11","18,16","17,16"
21,31/03/2019,"15,86%","1,14%","30,02%","8,81%","0,13","16,68","15,68"
22,31/12/2018,"11,08%","0,67%","33,74%","6,16%","0,11","18,99","17,99"
23,30/09/2018,"11,08%","0,67%","33,74%","6,16%","0,11","18,99","17,99"
24,30/06/2018,"13,52%","0,85%","29,13%","7,40%","0,11","19,88","18,88"
25,31/03/2018,"12,44%","0,77%","25,03%","5,89%","0,13","13,92","12,92"
26,31/12/2017,"13,23%","0,65%","27,72%","5,68%","0,11","16,47","15,47"
27,30/09/2017,"13,56%","0,71%","19,95%","5,26%","0,13","15,95","14,95"
28,30/06/2017,"13,31%","0,87%","19,03%","4,91%","0,18","15,33","14,33"
29,31/03/2017,"13,63%","0,85%","18,17%","4,86%","0,17","16,22","15,22"
30,31/12/2016,"12,37%","0,79%","24,70%","4,59%","0,17","20,36","19,36"
31,30/09/2016,"12,89%","0,83%","19,76%","5,04%","0,16","19,21","18,21"
32,30/06/2016,"13,72%","0,95%","19,13%","5,51%","0,17","15,25","14,25"
