,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"5,32%","2,42%","15,25%","2,57%","0,94","2,21","1,21"
1,31/03/2024,"8,46%","3,64%","16,40%","4,18%","0,87","2,18","1,18"
2,31/12/2023,"11,05%","4,71%","17,12%","5,17%","0,91","2,21","1,21"
3,30/09/2023,"11,95%","4,84%","17,36%","5,32%","0,91","2,28","1,28"
4,30/06/2023,"14,58%","6,01%","17,00%","5,83%","1,03","2,19","1,19"
5,31/03/2023,"15,00%","6,65%","16,97%","5,66%","1,18","2,32","1,32"
6,31/12/2022,"13,14%","5,80%","16,55%","5,12%","1,13","2,35","1,35"
7,30/09/2022,"24,20%","9,21%","16,09%","8,32%","1,11","2,47","1,47"
8,30/06/2022,"24,46%","9,35%","16,26%","8,00%","1,17","2,43","1,43"
9,31/03/2022,"32,25%","12,21%","16,20%","11,32%","1,08","2,26","1,26"
10,31/12/2021,"26,64%","9,84%","16,49%","9,04%","1,09","2,27","1,27"
11,30/09/2021,"16,81%","5,72%","17,42%","5,74%","1,00","2,63","1,63"
12,30/06/2021,"21,59%","7,57%","17,95%","7,01%","1,08","2,62","1,62"
13,31/03/2021,"10,55%","3,84%","16,23%","4,49%","0,85","2,64","1,64"
14,31/12/2020,"8,86%","3,55%","14,30%","3,39%","1,05","2,71","1,71"
15,30/09/2020,"1,86%","0,73%","11,92%","0,80%","0,90","2,94","1,94"
16,30/06/2020,"-1,07%","-0,42%","10,28%","-0,46%","0,91","2,85","1,85"
17,31/03/2020,"10,83%","4,17%","13,54%","3,82%","1,09","2,75","1,75"
18,31/12/2019,"14,53%","5,82%","13,97%","4,85%","1,20","2,50","1,50"
19,30/09/2019,"11,66%","4,57%","14,00%","4,17%","1,10","2,55","1,55"
20,30/06/2019,"12,90%","5,12%","14,62%","4,44%","1,15","2,55","1,55"
21,31/03/2019,"11,73%","4,60%","14,50%","3,85%","1,20","2,60","1,60"
22,31/12/2018,"9,31%","3,69%","15,47%","3,11%","1,19","2,50","1,50"
23,30/09/2018,"12,38%","4,98%","16,22%","4,08%","1,22","2,55","1,55"
24,30/06/2018,"11,06%","4,26%","16,19%","3,89%","1,10","2,52","1,52"
25,31/03/2018,"13,49%","5,00%","17,41%","4,48%","1,12","2,55","1,55"
26,31/12/2017,"16,21%","6,02%","18,04%","5,06%","1,19","2,52","1,52"
27,30/09/2017,"16,47%","5,69%","18,91%","5,07%","1,12","2,49","1,49"
28,30/06/2017,"17,20%","5,74%","18,95%","5,10%","1,12","2,60","1,60"
29,31/03/2017,"12,92%","4,31%","18,56%","4,10%","1,05","2,70","1,70"
30,31/12/2016,"8,64%","2,94%","18,44%","2,79%","1,06","2,69","1,69"
31,30/09/2016,"7,21%","2,41%","18,39%","2,34%","1,03","2,90","1,90"
32,30/06/2016,"7,13%","2,45%","18,28%","1,95%","1,25","3,00","2,00"
33,31/03/2016,"7,38%","2,47%","18,30%","2,05%","1,20","3,00","2,00"
34,31/12/2015,"14,03%","4,79%","18,51%","3,53%","1,35","2,94","1,94"
35,30/09/2015,"15,48%","5,37%","17,81%","4,03%","1,33","2,99","1,99"
