,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"20,42%","3,71%","27,93%","7,80%","0,48","4,68","3,68"
1,31/03/2024,"21,11%","3,87%","28,52%","8,00%","0,48","4,65","3,65"
2,31/12/2023,"17,19%","3,17%","27,27%","6,64%","0,48","5,72","4,72"
3,30/09/2023,"15,26%","2,98%","27,51%","6,54%","0,46","5,42","4,42"
4,30/06/2023,"17,26%","2,90%","27,63%","6,27%","0,46","5,50","4,50"
5,31/03/2023,"23,79%","3,97%","27,69%","7,96%","0,50","5,46","4,46"
6,31/12/2022,"25,32%","3,90%","27,13%","8,06%","0,48","5,41","4,41"
7,30/09/2022,"24,23%","4,10%","25,74%","7,86%","0,52","5,12","4,12"
8,30/06/2022,"30,69%","5,23%","23,94%","9,07%","0,58","5,95","4,95"
9,31/03/2022,"30,54%","5,07%","22,72%","8,28%","0,61","5,99","4,99"
10,31/12/2021,"38,98%","5,69%","21,52%","9,79%","0,58","6,75","5,75"
11,30/09/2021,"35,53%","5,63%","21,09%","9,51%","0,59","5,91","4,91"
12,30/06/2021,"40,84%","5,94%","21,12%","11,01%","0,54","5,86","4,86"
13,31/03/2021,"27,37%","4,13%","19,35%","8,16%","0,51","6,02","5,02"
14,31/12/2020,"25,78%","3,74%","17,99%","7,23%","0,52","6,85","5,85"
15,30/09/2020,"30,39%","4,39%","17,34%","8,58%","0,51","6,32","5,32"
16,30/06/2020,"15,02%","2,24%","15,35%","4,29%","0,52","6,87","5,87"
17,31/03/2020,"16,24%","2,55%","16,21%","4,59%","0,56","6,62","5,62"
18,31/12/2019,"8,45%","1,25%","16,34%","2,29%","0,55","6,90","5,90"
19,30/09/2019,"18,70%","3,25%","15,66%","4,24%","0,77","6,92","5,92"
20,30/06/2019,"24,45%","4,22%","16,36%","5,64%","0,75","6,70","5,70"
21,31/03/2019,"28,42%","5,15%","15,61%","6,70%","0,77","6,37","5,37"
22,31/12/2018,"29,88%","5,21%","15,87%","7,27%","0,72","6,76","5,76"
23,30/09/2018,"19,51%","3,50%","16,71%","4,77%","0,73","5,76","4,76"
24,30/06/2018,"16,21%","3,02%","14,74%","4,06%","0,74","5,79","4,79"
25,31/03/2018,"15,33%","2,82%","14,54%","4,00%","0,71","5,51","4,51"
26,31/12/2017,"15,17%","2,79%","13,84%","4,10%","0,68","5,74","4,74"
27,30/09/2017,"8,94%","1,63%","14,08%","2,50%","0,65","5,58","4,58"
28,30/06/2017,"11,57%","1,34%","15,72%","2,05%","0,65","5,36","4,36"
29,31/03/2017,"7,37%","0,91%","15,69%","1,36%","0,67","5,43","4,43"
30,31/12/2016,"7,00%","0,84%","15,47%","1,31%","0,64","5,44","4,44"
31,30/09/2016,"15,03%","1,58%","13,60%","2,34%","0,67","5,48","4,48"
32,30/06/2016,"5,17%","0,60%","13,22%","0,89%","0,68","8,64","7,64"
33,31/03/2016,"7,61%","0,88%","12,76%","1,37%","0,64","8,12","7,12"
34,31/12/2015,"17,26%","1,75%","13,81%","2,72%","0,64","8,37","7,37"
35,30/09/2015,"17,89%","1,83%","19,16%","2,89%","0,63","9,53","8,53"
36,30/06/2015,"24,15%","2,70%","19,13%","4,16%","0,65","8,55","7,55"
37,31/03/2015,"26,80%","6,87%","21,63%","4,64%","1,48","8,64","7,64"
38,31/12/2014,"15,51%","5,07%","23,15%","3,39%","1,50","9,88","8,88"
39,30/09/2014,"8,29%","2,84%","21,60%","2,43%","1,17","9,76","8,76"
40,30/06/2014,"13,14%","4,03%","26,28%","5,21%","0,77","8,96","7,96"
41,31/03/2014,"11,34%","3,69%","28,46%","6,68%","0,55","3,90","2,90"
42,31/12/2013,"13,58%","3,98%","30,27%","7,05%","0,56","3,06","2,06"
43,30/09/2013,"24,08%","6,91%","31,43%","10,88%","0,63","2,92","1,92"
44,30/06/2013,"19,59%","6,04%","30,62%","9,08%","0,67","3,26","2,26"
45,31/03/2013,"22,00%","6,97%","31,73%","10,22%","0,68","3,08","2,08"
46,31/12/2012,"22,27%","6,82%","31,15%","9,95%","0,69","3,41","2,41"
47,30/09/2012,"20,04%","5,96%","32,19%","8,99%","0,66","3,48","2,48"
48,30/06/2012,"19,23%","6,02%","32,59%","9,22%","0,65","3,24","2,24"
49,31/03/2012,"20,35%","6,11%","31,97%","9,67%","0,63","3,16","2,16"
50,31/12/2011,"17,85%","5,83%","31,38%","8,74%","0,67","3,26","2,26"
51,30/09/2011,"13,54%","4,47%","29,97%","6,78%","0,66","3,36","2,36"
52,30/06/2011,"14,39%","4,88%","29,50%","7,61%","0,64","3,20","2,20"
53,31/03/2011,"16,34%","5,38%","30,01%","8,38%","0,64","3,33","2,33"
