,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 27/09/2024,"5,97","0,86","2,34","35,39","0,41","R$ 17,73 B","9,10%"
1,30/06/2024,NA,NA,NA,NA,NA,NA,NA
2,31/03/2024,"6,09","0,92","2,52","24,78","0,44","R$ 18,68 B","8,72%"
3,31/12/2023,"6,22","1,02","2,84","29,95","0,49","R$ 18,87 B","8,22%"
4,30/09/2023,"6,04","0,79","2,48","15,99","0,41","R$ 16,33 B","4,91%"
5,30/06/2023,"6,98","0,94","3,02","17,56","0,48","R$ 18,61 B","4,23%"
6,31/03/2023,"6,17","0,90","2,69","23,96","0,45","R$ 16,72 B","4,60%"
7,31/12/2022,"6,47","0,90","2,68","24,40","0,45","R$ 16,16 B","4,78%"
8,30/09/2022,"6,10","0,98","2,78","55,94","0,49","R$ 17,40 B","6,21%"
9,30/06/2022,"5,46","0,99","2,59","42,46","0,50","R$ 17,14 B","6,33%"
10,31/03/2022,"5,66","1,13","2,90","22,07","0,56","R$ 19,08 B","7,77%"
11,31/12/2021,"5,45","1,14","2,98","18,32","0,57","R$ 18,45 B","14,36%"
12,30/09/2021,"5,00","1,10","2,97","11,53","0,57","R$ 17,88 B","14,27%"
13,30/06/2021,"4,93","1,15","3,33","12,24","0,58","R$ 17,79 B","14,02%"
14,31/03/2021,"5,17","1,33","4,52","14,10","0,67","R$ 18,33 B","11,55%"
15,31/12/2020,"4,74","1,16","4,31","11,57","0,65","R$ 17,23 B","7,20%"
16,30/09/2020,"6,83","1,17","3,65","11,55","0,70","R$ 16,18 B","5,62%"
17,30/06/2020,"6,45","1,11","3,64","10,22","0,64","R$ 15,52 B","8,69%"
18,31/03/2020,"7,10","1,05","3,79","9,86","0,62","R$ 13,72 B","8,95%"
19,31/12/2019,"8,78","1,31","4,68","11,46","0,72","R$ 16,62 B","6,43%"
20,30/09/2019,"7,76","1,27","4,48","11,19","0,76","R$ 16,23 B","10,48%"
21,30/06/2019,"7,18","1,36","4,25","11,39","0,81","R$ 16,83 B","7,59%"
22,31/03/2019,"1,75","0,31","1,04","2,33","0,18","R$ 3,63 B","14,12%"
23,31/12/2018,"6,76","1,15","3,99","9,67","0,69","R$ 12,90 B","16,28%"
24,30/09/2018,"7,70","0,90","3,81","7,31","0,54","R$ 10,21 B","11,82%"
25,30/06/2018,"9,29","0,95","4,21","8,54","0,58","R$ 10,09 B","11,98%"
26,31/03/2018,"8,07","0,96","3,98","13,23","0,62","R$ 10,26 B","5,41%"
27,31/12/2017,"8,12","1,01","4,10","19,56","0,64","R$ 10,58 B","4,51%"
28,30/09/2017,"7,82","0,99","4,13","67,09","0,63","R$ 10,52 B","2,47%"
29,30/06/2017,"2,09","1,07","1,33","423,20","0,71","R$ 10,86 B","2,37%"
30,31/03/2017,"2,02","0,99","1,28","281,27","0,66","R$ 9,95 B","2,40%"
31,31/12/2016,"2,20","1,07","1,39","80,30","0,72","R$ 10,46 B","2,28%"
32,30/09/2016,"2,39","1,14","1,51","58,18","0,77","R$ 10,80 B","2,95%"
33,30/06/2016,"20,16","1,98","8,34","25,63","1,46","R$ 10,26 B","3,10%"
34,31/03/2016,"17,43","1,65","6,88","15,00","1,22","R$ 8,60 B","4,08%"
35,31/12/2015,"14,93","1,41","5,85","14,19","1,03","R$ 7,26 B","4,86%"
36,30/09/2015,"12,94","1,17","4,95","15,18","0,86","R$ 6,33 B","4,79%"
37,30/06/2015,"17,80","1,24","5,43","14,51","0,92","R$ 6,49 B","5,23%"
38,31/03/2015,"17,71","1,27","5,90","19,78","0,93","R$ 6,75 B","2,95%"
39,31/12/2014,"17,91","1,31","6,14","13,66","0,95","R$ 6,51 B","3,37%"
40,30/09/2014,"12,62","1,13","5,52","9,60","0,82","R$ 6,56 B","4,59%"
41,30/06/2014,"49,83","0,88","4,36","8,43","0,63","R$ 5,25 B","5,18%"
42,31/03/2014,"86,16","0,81","3,98","7,86","0,58","R$ 4,95 B","5,75%"
43,31/12/2013,"120,52","0,78","3,92","1,97","0,55","R$ 5,17 B","5,20%"
44,30/09/2013,"73,99","1,03","2,62","3,60","0,68","R$ 5,82 B","0,00%"
45,30/06/2013,"9,46","1,01","2,34","3,53","0,68","R$ 6,19 B","0,00%"
46,31/03/2013,"7,53","1,04","2,11","3,33","0,68","R$ 6,28 B","3,01%"
47,31/12/2012,"6,63","1,10","1,98","30,02","0,57","R$ 6,46 B","5,48%"
48,30/09/2012,"5,59","0,93","1,61","41,06","0,48","R$ 5,00 B","11,92%"
49,30/06/2012,"9,36","1,85","2,94","119,38","0,97","R$ 9,20 B","9,06%"
50,31/03/2012,"10,55","2,08","3,28","-760,84","1,12","R$ 9,93 B","8,71%"
51,31/12/2011,"10,32","2,08","3,26","-371,85","1,12","R$ 9,45 B","10,16%"
52,30/09/2011,"18,11","1,63","2,61","-306,79","0,91","R$ 7,80 B","11,93%"
53,30/06/2011,"21,80","1,52","2,63","81,55","0,89","R$ 7,42 B","12,75%"
54,31/03/2011,"25,06","1,69","3,16","27,91","1,05","R$ 8,25 B","10,17%"
55,31/12/2010,"25,47","1,70","3,45","16,40","1,12","R$ 8,27 B","10,06%"
56,30/09/2010,"10,68","1,78","4,98","6,61","1,19","R$ 8,09 B","10,24%"
57,30/06/2010,"9,43","1,60","4,49","6,10","1,09","R$ 7,31 B","10,84%"
58,31/03/2010,"8,61","1,51","4,19","6,15","0,99","R$ 6,78 B","11,46%"
59,31/12/2009,"8,63","1,71","4,32","6,50","1,13","R$ 7,33 B","9,58%"
60,30/09/2009,"8,65","1,66","4,46","7,15","1,19","R$ 7,50 B","8,76%"
61,30/06/2009,"7,99","1,58","4,16","7,10","1,19","R$ 7,14 B","8,55%"
62,31/03/2009,"8,36","1,63","4,33","8,25","1,20","R$ 7,00 B","9,63%"
63,31/12/2008,"7,91","1,59","4,18","8,74","1,15","R$ 6,65 B","9,62%"
64,30/09/2008,"6,73","1,50","4,13",NA,"1,13","R$ 6,48 B","10,39%"
65,30/06/2008,"9,13","2,02","5,76",NA,"1,48","R$ 7,85 B","11,09%"
66,31/03/2008,"7,90","1,61","4,84",NA,"1,23","R$ 6,42 B","14,14%"
67,31/12/2007,"7,50","1,63","4,88",NA,"1,24","R$ 5,92 B","15,08%"
68,30/09/2007,"19,19","1,48","4,29",NA,"1,21","R$ 5,55 B","12,65%"
69,30/06/2007,"19,97","1,39","4,05",NA,"1,15","R$ 5,37 B","6.766,03%"
70,31/03/2007,"15,62","1,03","3,01",NA,"0,83","R$ 4,08 B","7.253,82%"
71,31/12/2006,"38,60",NA,"3,44",NA,"0,87","R$ 4,39 B","3.336,18%"
72,30/09/2006,"6,98","0,84","2,65",NA,"0,68","R$ 3,86 B","6.977,33%"
