,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"8,49%","8,30%","12,86%","12,57%","10,00%","2,95%","41,70%","9,58%","33,11%","51,92%","0,31","3,69","2,69","3,62"
1,30/06/2024,"7,77%","7,53%","11,77%","11,41%","0,52%","0,16%","38,73%","0,55%","29,82%","49,28%","0,29","3,78","2,78","4,10"
2,31/03/2024,"6,61%","6,51%","10,02%","9,86%","23,74%","6,70%","34,61%","23,90%","27,58%","47,49%","0,28","3,21","2,21","4,15"
3,31/12/2023,"8,28%","8,22%","12,55%","12,45%","42,60%","10,57%","36,92%","35,43%","30,73%","49,14%","0,30","3,21","2,21","3,52"
4,30/09/2023,"11,22%","11,12%","17,00%","16,85%","60,94%","13,24%","42,65%","38,93%","37,39%","54,41%","0,34","3,39","2,39","3,07"
5,30/06/2023,"15,73%","15,59%","23,83%","23,62%","96,47%","18,93%","48,04%","47,37%","44,12%","59,25%","0,40","3,25","2,25","2,16"
6,31/03/2023,"18,67%","18,13%","28,29%","27,47%","72,44%","16,22%","50,63%","35,66%","45,05%","59,55%","0,45","3,54","2,54","2,22"
7,31/12/2022,"18,01%","18,08%","27,28%","27,40%","155,10%","19,65%","50,19%","46,92%","44,60%","59,50%","0,42","4,03","3,03","2,19"
8,30/09/2022,"16,86%","16,82%","25,55%","25,49%","134,89%","16,08%","49,45%","38,86%","41,93%","57,59%","0,41","4,60","3,60","2,56"
9,30/06/2022,"15,70%","15,39%","23,79%","23,32%","81,64%","11,45%","48,16%","27,20%","39,87%","56,37%","0,42","5,10","4,10","2,75"
10,31/03/2022,"15,64%","15,80%","23,70%","23,94%","486,49%","20,75%","49,30%","51,86%","42,95%","59,69%","0,40","4,47","3,47","2,36"
11,31/12/2021,"16,65%","16,37%","25,22%","24,80%","119,28%","8,47%","49,68%","21,06%","44,38%","61,56%","0,40","7,89","6,89","2,62"
12,30/09/2021,"14,30%","14,40%","21,67%","21,82%","916,40%","11,60%","47,20%","32,61%","42,22%","60,73%","0,36","8,39","7,39","2,80"
13,30/06/2021,"12,21%","12,17%","18,50%","18,43%","482,96%","11,09%","44,53%","35,17%","39,14%","59,20%","0,32","7,13","6,13","2,96"
14,31/03/2021,"9,46%","9,32%","14,33%","14,12%","-1,31%","-0,06%","41,33%","-0,18%","33,06%","54,24%","0,31","23,45","22,45","4,02"
15,31/12/2020,"7,77%","7,11%","11,78%","10,77%","-59,67%","-10,95%","37,73%","-35,21%","27,72%","49,77%","0,31","14,08","13,08","4,36"
16,30/09/2020,"6,08%","5,36%","9,22%","8,13%","-91,44%","-15,57%","32,56%","-52,45%","22,36%","33,12%","0,30","79,00","78,00","7,29"
17,30/06/2020,"5,12%","4,45%","7,75%","6,74%","-87,48%","-17,95%","28,72%","-62,08%","18,95%","29,66%","0,29","43,55","42,55","8,26"
18,31/03/2020,"3,50%","3,06%","5,31%","4,63%","-74,21%","-15,12%","23,65%","-55,00%","13,89%","27,08%","0,27","23,19","22,19","9,64"
19,31/12/2019,"3,73%","4,00%","5,64%","6,06%","-23,46%","-5,22%","20,26%","-10,83%","10,10%","27,18%","0,48","5,45","4,45","8,55"
20,30/09/2019,"5,63%","6,11%","8,53%","9,26%","-23,74%","-6,07%","25,09%","-11,38%","13,67%","28,87%","0,53","5,87","4,87","10,03"
