,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 27/09/2024,"5,27","0,77","1,14","-18,35","0,42","R$ 1,30 B","7,72%"
1,30/06/2024,"5,54","0,81","1,20","-19,28","0,44","R$ 1,37 B","7,35%"
2,31/03/2024,"5,05","0,83","1,09","-21,78","0,41","R$ 1,41 B","0,00%"
3,31/12/2023,"4,83","0,86","1,05","-187,87","0,41","R$ 1,47 B","0,00%"
4,30/09/2023,"33,69","0,85","1,64","-108,41","0,37","R$ 1,29 B","0,00%"
5,30/06/2023,"46,31","0,92","1,82","-35,63","0,40","R$ 1,41 B","0,00%"
6,31/03/2023,"-21,46","0,66","1,85","-29,86","0,27","R$ 984,42 M","0,00%"
7,31/12/2022,"-10,43","0,57","2,17","-18,86","0,24","R$ 837,19 M","0,99%"
8,30/09/2022,"-24,66","1,08","5,34","-46,03","0,44","R$ 1,62 B","0,51%"
9,30/06/2022,"-36,61","0,96","5,16","497,94","0,42","R$ 1,47 B","0,57%"
10,31/03/2022,"-356,92","1,18","6,60","50,46","0,53","R$ 1,83 B","0,45%"
11,31/12/2021,"58,98","1,30","7,06","17,02","0,59","R$ 2,03 B","1,04%"
12,30/09/2021,"42,87","1,31","7,79","17,40","0,66","R$ 2,05 B","1,03%"
13,30/06/2021,"24,91","1,49","6,72","22,07","0,78","R$ 2,34 B","0,90%"
14,31/03/2021,"22,93","1,41","6,31","20,37","0,74","R$ 2,20 B","0,96%"
15,31/12/2020,"21,17","1,20","5,45","26,49","0,60","R$ 1,85 B","0,20%"
16,30/09/2020,"24,82","1,37","5,36","42,85","0,66","R$ 2,12 B","0,99%"
17,30/06/2020,"55,26","1,49","7,17","53,85","0,72","R$ 2,24 B","0,94%"
18,31/03/2020,"20,92","1,28","5,00","85,35","0,63","R$ 1,91 B","1,10%"
19,31/12/2019,"32,09","1,88","7,44","155,37","0,94","R$ 2,77 B","0,77%"
20,30/09/2019,"34,95","1,64","7,82","633,15","0,88","R$ 2,42 B","0,16%"
21,30/06/2019,"29,32","1,34","6,47","-1.045,32","0,72","R$ 1,97 B","0,19%"
22,31/03/2019,"261,25","1,27","7,28","127,09","0,66","R$ 1,79 B","0,21%"
23,31/12/2018,"114,56","1,28","4,86","46,62","0,66","R$ 1,79 B","0,00%"
24,30/09/2018,"14,90","1,27","2,92","29,75","0,66","R$ 1,79 B","0,00%"
25,30/06/2018,"13,97","1,15","2,60","25,41","0,59","R$ 1,62 B","2,90%"
26,31/03/2018,"15,12","1,43","3,04","30,51","0,70","R$ 2,02 B","2,32%"
27,31/12/2017,"18,21","1,55","3,93","124,39","0,73","R$ 2,17 B","3,02%"
28,30/09/2017,"96,27","1,65","6,87","49,65","0,75","R$ 2,22 B","2,95%"
29,30/06/2017,"21,00","1,48","4,18","360,14","0,67","R$ 1,99 B","0,93%"
30,31/03/2017,"24,86","1,44","4,35","120,85","0,63","R$ 1,92 B","0,96%"
31,31/12/2016,"22,57","1,30","3,82","58,62","0,56","R$ 1,72 B","0,68%"
32,30/09/2016,"21,89","1,30","3,85","8,77","0,56","R$ 1,73 B","0,67%"
33,30/06/2016,"98,81","1,25","5,16","5,97","0,52","R$ 1,57 B","0,74%"
34,31/03/2016,"15,92","1,26","3,82","13,90","0,52","R$ 1,59 B","2,74%"
35,31/12/2015,"7,62","0,99","2,61","6,91","0,41","R$ 1,24 B","3,54%"
36,30/09/2015,"7,43","1,14","2,84","7,89","0,46","R$ 1,44 B","4,41%"
37,30/06/2015,"7,67","1,27","3,20","9,77","0,51","R$ 1,59 B","3,99%"
38,31/03/2015,"12,48","1,58","5,06","8,09","0,63","R$ 1,91 B","1,66%"
39,31/12/2014,"15,29","1,62","6,05","8,03","0,76","R$ 1,85 B","2,63%"
40,30/09/2014,"7,77","1,59","3,24","9,64","0,79","R$ 1,83 B","1,59%"
41,30/06/2014,"8,79","1,89","3,72","12,31","0,94","R$ 2,14 B","2,98%"
42,31/03/2014,"8,16","1,76","3,37","10,14","0,85","R$ 1,94 B","3,27%"
43,31/12/2013,"8,09","1,87","3,13","11,52","0,89","R$ 2,02 B","2,92%"
44,30/09/2013,"16,11","2,20","6,05","9,68","1,00","R$ 2,16 B","4,19%"
45,30/06/2013,"16,06","2,16","5,87","11,14","0,96","R$ 2,07 B","2,72%"
46,31/03/2013,"10,95","2,81","4,22","13,55","1,22","R$ 2,66 B","2,12%"
47,31/12/2012,"12,01","2,96","4,79","13,33","1,28","R$ 2,66 B","2,22%"
48,30/09/2012,"11,38","2,86","3,93","13,88","1,27","R$ 2,61 B","1,04%"
49,30/06/2012,"8,93","2,26","3,09","10,95","0,99","R$ 2,01 B","1,34%"
50,31/03/2012,"17,43","2,42","5,13","10,79","0,98","R$ 1,83 B","1,49%"
51,31/12/2011,"19,17","2,51","5,37","12,24","1,06","R$ 1,85 B","0,00%"
52,30/09/2011,"25,46","1,77","5,95","7,10","0,76","R$ 1,26 B","0,00%"
53,30/06/2011,"25,67","1,71","6,00","6,17","0,74","R$ 1,18 B","0,00%"
54,31/03/2011,"14,95","1,87","5,13","7,59","0,80","R$ 1,26 B","1,97%"
55,31/12/2010,"13,82","1,90","5,22","7,81","0,80","R$ 1,27 B","2,45%"
56,30/09/2010,"11,52","1,76","5,35","4,40","0,82","R$ 1,18 B","3,77%"
